Primitive,Variants,Parameters,Time (ms)
packing_lwe_to_glwe,xLWE,"PARAM_MESSAGE_2_CARRY_0",0.649142
packing_lwe_to_glwe,tLWE,"PARAM_MESSAGE_2_CARRY_0",0.068556
packing_lwe_to_glwe,xLWE,"PARAM_MESSAGE_3_CARRY_0",1.457883
packing_lwe_to_glwe,tLWE,"PARAM_MESSAGE_3_CARRY_0",0.098943
packing_lwe_to_glwe,xLWE,"PARAM_MESSAGE_4_CARRY_0",3.6158230000000002
packing_lwe_to_glwe,tLWE,"PARAM_MESSAGE_4_CARRY_0",0.107576
packing_lwe_to_glwe,xLWE,"PARAM_MESSAGE_5_CARRY_0",18.519496
packing_lwe_to_glwe,tLWE,"PARAM_MESSAGE_5_CARRY_0",0.237979
packing_lwe_to_glwe,xLWE,"PARAM_MESSAGE_6_CARRY_0",122.604217
packing_lwe_to_glwe,tLWE,"PARAM_MESSAGE_6_CARRY_0",0.5079
packing_lwe_to_glwe,xLWE,"PARAM_MESSAGE_7_CARRY_0",1110.5572530000002
packing_lwe_to_glwe,tLWE,"PARAM_MESSAGE_7_CARRY_0",1.628498
