Primitive,Variants,Parameters,Time (ms)
packing_lwe_to_glwe,xLWE,"PARAM_MESSAGE_2_CARRY_0",48.336273999999996
packing_lwe_to_glwe,tLWE,"PARAM_MESSAGE_2_CARRY_0",0.989614
packing_lwe_to_glwe,xLWE,"PARAM_MESSAGE_3_CARRY_0",165.042197
packing_lwe_to_glwe,tLWE,"PARAM_MESSAGE_3_CARRY_0",2.192806
packing_lwe_to_glwe,xLWE,"PARAM_MESSAGE_4_CARRY_0",507.87206799999996
packing_lwe_to_glwe,tLWE,"PARAM_MESSAGE_4_CARRY_0",4.979372000000001
packing_lwe_to_glwe,xLWE,"PARAM_MESSAGE_5_CARRY_0",2686.058048
packing_lwe_to_glwe,tLWE,"PARAM_MESSAGE_5_CARRY_0",13.807687000000001
packing_lwe_to_glwe,xLWE,"PARAM_MESSAGE_6_CARRY_0",13139.701153
packing_lwe_to_glwe,tLWE,"PARAM_MESSAGE_6_CARRY_0",40.981099
